artist_name,listeners,playcount,plays_per_listener,breakout,log_listeners,log_playcount,total_views,avg_views_per_day,max_views_per_day,total_likes,total_comments,video_count,engagement_rate,log_total_views,log_avg_vpd,headline_count,sentiment_score,avg_sentiment_confidence
Phoebe Bridgers,2192141,295985173,135.02,1,14.600389705973742,19.50581992319606,2392367.0,15196.525,137764.47,11027.0,561.0,10.0,0.0048,14.6877942283734,9.628887864628927,19.0,0.474,0.9275575186076918
Lizzy McAlpine,1463793,117530074,80.29,0,14.196542253220246,18.582204816243777,174219.0,307.615,650.44,5669.0,175.0,10.0,0.0335,12.068074147372883,5.732094545358296,8.0,1.0,0.9912587255239488
Ricky Montgomery,1365054,52502211,38.46,0,14.126705278829748,17.7763658600076,1129126.0,1416.762,3912.16,47417.0,1806.0,10.0,0.0436,13.93695532573365,7.256834850973993,0.0,0.0,0.0
Wednesday,383324,15609512,40.72,0,12.85663847230459,16.563391094054918,4700675.0,20945.004999999997,68115.0,102596.0,6609.0,10.0,0.0232,15.36321688612501,9.949703215042124,18.0,0.611,0.9611296852429708
Mk.gee,726573,33655751,46.32,0,13.496095615029642,17.33169453555408,53555130.0,49725.908,479643.8,695392.0,18144.0,20.0,0.0133,17.79622216726134,10.814301474026747,20.0,0.6,0.957420128583908
Indigo De Souza,710744,22723195,31.97,0,13.474068994666132,16.938896810938353,313273.0,481.34999999999997,3128.99,9348.0,129.0,8.0,0.0303,12.654833485944758,6.178669991616562,1.0,1.0,0.9982476234436036
Faye Webster,1830057,139200306,76.06,1,14.41985821830443,18.751424511321932,24174.0,61.42100000000001,318.38,1149.0,63.0,10.0,0.0501,10.093074320321495,4.1339017572205545,3.0,1.0,0.9907337427139282
Circuit des Yeux,82768,932193,11.26,0,11.323808874134354,13.745296226513023,231.0,0.8262499999999999,6.18,14.0,1.0,8.0,0.0649,5.44673737166631,0.6022646840827721,1.0,1.0,0.999642014503479
Squirrel Flower,244252,2937128,12.02,0,12.40595985232704,14.892943131585962,62520.0,86.099,668.69,1113.0,81.0,10.0,0.0191,11.043257779289133,4.467045402736292,5.0,1.0,0.9168769240379332
Waxahatchee,477598,19326960,40.47,0,13.076526747255992,16.777011622063153,157007.0,290.685,491.85,8672.0,416.0,10.0,0.0579,11.964052038446274,5.675674452856934,15.0,0.933,0.9662268042564393
Adrianne Lenker,1383984,118583256,85.68,0,14.14047757695073,18.591125862555447,240080.0,1660.378,13547.11,12348.0,470.0,10.0,0.0534,12.388731645383814,7.415402657473069,2.0,1.0,0.9950778484344482
Helena Deland,205852,2685449,13.05,0,12.234917600810583,14.803358869647528,890.0,11.895,19.13,28.0,0.0,2.0,0.0315,6.792344427470809,2.556839639333308,0.0,0.0,0.0
Hand Habits,239621,2608527,10.89,0,12.38681796070776,14.774296635525367,90562.0,433.884,3174.17,2365.0,83.0,10.0,0.027,11.413801020096797,6.07507932886014,5.0,0.4,0.9119890809059144
